cX,cY,cZ,nX,nY,nZ
-1.3390146908367124,-0.36189384643973765,-0.25412270164554296,0.02792432123535453,0.9269138581999725,0.3742337929161207
0.4177629744281623,-2.4171462597381663,-1.375904462537382,0.9630236232057576,-0.012731967524285074,0.26911595670010985
-0.36827090943725765,0.5766771740943752,-1.849251068833465,0.5717384898931385,-0.3833839084530514,-0.7253494867399962
1.4310412867700923,2.6744277350361774,-0.0286571658694454,0.0008812925523253694,0.0016395615422842744,-0.9999982675791925
-0.43612222713885485,-2.550886411129036,1.4108962297991023,-0.40891926112091126,0.5777547969940838,-0.7063883014565381
-0.8950820407544707,0.4261873230569226,2.114678458021394,0.8405928926185912,0.4374923616907765,0.31938068561097493
-0.156245922900821,1.396026319973191,0.37375132677821465,0.5128122211030154,0.8075068219609752,0.29147274036156073
0.780109533779419,-1.6969045650430294,1.4043653423297215,-0.6438856264612669,-0.2826613553935494,-0.7109949776219685
0.07618461572210845,0.8327626524187612,1.2447650741017833,-0.9408875049398402,-0.3040964078722333,-0.1491847102329414
0.7561937157640759,0.1445810816955286,-2.355478172985461,0.0873236002782927,0.017083516670474842,0.9960335046034378
