cX,cY,cZ,nX,nY,nZ
-1.1268937707071556,-0.3573445190541151,0.6712736815630761,0.59387772465695,0.5150649996378642,0.6180754762197986
-2.1383399487976127,1.9982997554019841,-2.5639940810238557,0.1812506284136208,-0.597150634250775,0.7813829597025806
-0.6707045656410053,0.008212268184820761,-1.4043082268568565,0.7308207909335596,-0.10909302141007735,0.6737949867866835
-1.5071324930296557,-2.1794516393601087,-1.2755811977568763,0.6722111528502402,0.5629706414459377,-0.4808286834764544
1.3834428471734248,0.08212561992830027,-1.4747370193283431,-0.22032128253721026,0.5164145269108588,0.8275110687214963
0.29212899147328597,0.7614226301452591,-1.1645328508969328,-0.30528310418064375,0.9303713262449519,0.203005964451884
-2.152471718074787,0.5819822806618207,0.4324774504940969,0.13965835213430314,0.08515601499513348,0.9865312958995673
1.1247234750464143,-1.2751099821385492,1.9475701775053456,0.07520631289213293,0.6861137684404734,0.723596508599636
0.851966435818627,0.5428859681935693,1.1442061031972866,0.5974207257659386,0.1632100258846128,-0.7851439128440361
-0.26512668873248574,-2.1116639045125143,1.0117048406562896,-0.03926823830977093,0.8969476483221435,0.4403895112618187
