cX,cY,cZ,nX,nY,nZ
1.0643383797700643,0.9396129265076144,-0.05323681399518021,-0.04127429439912969,0.6958526928863397,0.7169975330673625
-1.0340248560809338,-0.12209687688374014,2.450042090663941,-0.4771200152280315,-0.7309863816428633,0.4878682208562852
-0.195383097810815,1.122566346481313,0.6776598805581641,-0.6192413740089291,0.5390152560240712,0.5709664390214529
0.33137352862543434,0.7718874365265296,2.8974096383337433,-0.43907938832180776,0.7889014767401327,0.42993458891811104
-0.6291200258692857,0.3726216681434323,-1.6925116717665316,-0.2260090639924112,-0.5391918577124861,-0.8112903571285883
0.11751739450797297,-0.08081197368141892,2.9748510543126803,-0.6780533190192298,-0.20735346934815008,0.7051583051459382
-1.0877086237779865,-1.6803768109525992,2.472222063551789,-0.6606698397534949,0.6741327594065578,0.33024291897782077
3.2696909530016858,-0.4873814996424901,-0.028913641293515868,0.6307080980637383,0.6821264079088221,-0.370014673587723
-0.511928651050552,-0.6639186027772128,1.023747929802321,0.9658643882677266,-0.19428991059797948,0.17134005403302324
0.10998623418002676,-2.323390373925381,2.9389676033190746,-0.12800082198451473,-0.12093735400270747,0.9843728693834021
