C	Flux (particles/(EU*-day-cm2)) vs. Energy (EU*) vs. Isotope at Point 1
C	Energy unit (EU*) is MeV for photon, electron, and positron; EU* is MeV/amu for all other particles.

C	Created on Thu Apr 16 21:44:19 2026
C	Job Name: job_1
C	TARIS FORTRAN code version 5.01

C	 axis name= Energy unit= EU* 
C	 Energy unit (EU*) is MeV for photon, electron, and positron; EU* is MeV/amu for all other particles.
C	 Energy array dimensions and data
       1     125
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
 1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20  1.0000000e-20
