Energy,proton,alpha,Li7,Be9,B11,C12,N14,O16,F19,Ne20,Na23,Mg24,Al27,Si28,P29,S32,Cl35,Ar38,K39,Ca40,Sc43,Ti47,V49,Cr52,Mn54,Fe56,Co57,Ni58
104838.71564318317,0.002871301,0.001546192,7.129709e-06,3.146312e-06,1.504084e-05,4.310572e-05,1.146611e-05,3.909715e-05,8.257511e-07,6.977843e-06,1.45991e-06,9.26004e-06,1.468853e-06,6.745662e-06,2.270399e-07,1.152754e-06,2.525804e-07,6.129218e-07,4.236643e-07,1.250237e-06,2.362986e-07,8.751031e-07,3.893103e-07,7.659719e-07,5.030137e-07,5.525792e-06,3.4621e-08,2.674879e-07
112903.23279045001,0.003470217,0.001859723,8.565805e-06,3.780678e-06,1.805138e-05,5.181646e-05,1.379231e-05,4.70249e-05,9.926035e-07,8.385955e-06,1.754901e-06,1.112782e-05,1.765713e-06,8.107617e-06,2.729521e-07,1.386702e-06,3.037424e-07,7.343812e-07,5.092569e-07,1.501866e-06,2.841707e-07,1.051712e-06,4.680883e-07,9.207645e-07,6.042568e-07,6.640872e-06,4.1607e-08,3.216753e-07
120967.74812263709,0.004194059,0.00223683,1.029116e-05,4.542945e-06,2.16645e-05,6.228745e-05,1.659044e-05,5.656015e-05,1.19317e-06,1.007822e-05,2.109497e-06,1.337233e-05,2.12257e-06,9.744551e-06,3.281487e-07,1.668128e-06,3.652678e-07,8.799096e-07,6.121415e-07,1.804138e-06,3.417413e-07,1.263962e-06,5.628073e-07,1.106839e-06,7.258774e-07,7.98097e-06,5.000266e-08,3.868399e-07
129032.26394990309,0.005068434,0.002690131,1.236275e-05,5.458328e-06,2.599804e-05,7.486665e-05,1.995421e-05,6.802192e-05,1.434115e-06,1.211072e-05,2.535482e-06,1.606789e-05,2.551284e-06,1.171077e-05,3.944661e-07,2.006463e-06,4.392102e-07,1.054161e-06,7.357354e-07,2.167021e-06,4.109331e-07,1.51889e-06,6.766231e-07,1.330378e-06,8.718855e-07,9.590499e-06,6.008622e-08,4.651578e-07
137096.776684428,0.006120129,0.003232299,1.483723e-05,6.551937e-06,3.116838e-05,8.990199e-05,2.39778e-05,8.173062e-05,1.722096e-06,1.453943e-05,3.044639e-06,1.928866e-05,3.063717e-06,1.406052e-05,4.737403e-07,2.411191e-06,5.276281e-07,1.261677e-06,8.834522e-07,2.600434e-06,4.936748e-07,1.823519e-06,8.126976e-07,1.597567e-06,1.046271e-06,1.151382e-05,7.213564e-08,5.588145e-07
145161.31121415194,0.007382742,0.003879417,1.778668e-05,7.855706e-06,3.732396e-05,0.0001078355,2.878068e-05,9.809277e-05,2.065572e-06,1.743552e-05,3.651939e-06,2.312891e-05,3.674939e-06,1.686275e-05,5.683032e-07,2.894338e-06,6.331342e-07,1.508272e-06,1.05963e-06,3.117001e-06,5.924145e-07,2.186777e-06,9.750452e-07,1.916261e-06,1.254109e-06,1.380734e-05,8.650424e-08,6.70583e-07
153225.80443330182,0.008896749,0.004650834,2.129783e-05,9.408054e-06,4.464337e-05,0.0001291992,3.450662e-05,0.0001175976,2.474724e-06,2.088461e-05,4.375398e-06,2.770208e-05,4.403083e-06,2.020044e-05,6.809607e-07,3.470377e-06,7.588724e-07,1.800942e-06,1.269487e-06,3.731912e-06,7.100981e-07,2.619408e-06,1.168497e-06,2.295915e-06,1.501511e-06,1.653891e-05,1.036173e-07,8.038012e-07
161290.3192096125,0.01071002,0.005569307,2.54725e-05,1.125409e-05,5.333611e-05,0.000154618,4.13247e-05,0.0001408204,2.96151e-06,2.49873e-05,5.236188e-06,3.314145e-05,5.269457e-06,2.417106e-05,8.150087e-07,4.156327e-06,9.085371e-07,2.147879e-06,1.519157e-06,4.463007e-06,8.501887e-07,3.134035e-06,1.398732e-06,2.747637e-06,1.795647e-06,1.978827e-05,1.239743e-07,9.623939e-07
169354.83719565842,0.01287905,0.00666154,3.043e-05,1.344668e-05,6.36475e-05,0.0001848251,4.943332e-05,0.0001684361,3.539953e-06,2.986154e-05,6.259144e-06,3.960331e-05,6.299052e-06,2.888896e-05,9.743119e-07,4.972163e-06,1.086462e-06,2.558661e-06,1.815828e-06,5.331203e-06,1.01675e-06,3.745458e-06,1.672411e-06,3.284459e-06,2.144928e-06,2.364897e-05,1.481616e-07,1.150968e-06
177419.37282789848,0.01547047,0.007958869,3.631009e-05,1.604776e-05,7.586474e-05,0.0002206802,5.906532e-05,0.0002012369,4.226492e-06,3.564564e-05,7.473395e-06,4.727088e-05,7.521175e-06,3.44882e-05,1.1634e-06,5.941325e-06,1.29773e-06,3.044481e-06,2.167929e-06,6.361018e-06,1.214548e-06,4.471033e-06,1.997349e-06,3.921659e-06,2.559207e-06,2.823071e-05,1.768667e-07,1.374932e-06
185483.88675791727,0.0185627,0.009498017,4.327632e-05,1.912981e-05,9.032378e-05,0.0002631902,7.049356e-05,0.0002401509,5.040377e-06,4.250155e-05,8.913062e-06,5.635876e-05,8.970152e-06,4.112583e-05,1.387576e-06,7.091281e-06,1.548291e-06,3.618416e-06,2.58533e-06,7.581165e-06,1.44917e-06,5.331086e-06,2.3827e-06,4.677135e-06,3.050019e-06,3.3662e-05,2.10895e-07,1.640622e-06
193548.39354833984,0.02224805,0.01132202,5.152003e-05,2.277763e-05,0.0001074175,0.0003135347,8.40378e-05,0.000286266,6.004146e-06,5.061895e-05,1.061812e-05,6.711827e-05,1.068619e-05,4.898578e-05,1.653048e-06,8.454222e-06,1.845116e-06,4.295734e-06,3.079585e-06,9.025267e-06,1.727158e-06,6.349422e-06,2.839191e-06,5.571853e-06,3.630871e-06,4.009342e-05,2.511905e-07,1.955472e-06
201612.91027578653,0.02663499,0.01348129,6.126497e-05,2.709039e-05,0.0001276054,0.0003730942,0.0001000725,0.0003408559,7.144171e-06,6.021984e-05,1.263538e-05,7.984361e-05,1.271635e-05,5.828339e-05,1.967077e-06,1.006785e-05,2.196362e-06,5.094262e-06,3.664217e-06,1.073269e-05,2.056175e-06,7.553906e-06,3.379379e-06,6.630352e-06,4.317565e-06,4.770131e-05,2.988587e-07,2.328187e-06
209677.42367530512,0.03185092,0.01603483,7.27726e-05,3.2184e-05,0.000151424,0.0004434844,0.0001190362,0.0004054119,8.491296e-06,7.156396e-05,1.501962e-05,9.4879e-05,1.511569e-05,6.927067e-05,2.338151e-06,1.197628e-05,2.611566e-06,6.034798e-06,4.355037e-06,1.274947e-05,2.44519e-06,8.977141e-06,4.017963e-06,7.881352e-06,5.128586e-06,5.669209e-05,3.551939e-07,2.768968e-06
217741.9401467603,0.03804532,0.01905172,8.634848e-05,3.819387e-05,0.0001795009,0.0005265959,0.0001414419,0.0004816796,1.008159e-05,8.49552e-05,1.783497e-05,0.0001126273,1.794867e-05,8.224253e-05,2.776192e-06,1.423119e-05,3.101887e-06,7.141615e-06,5.17054e-06,1.512954e-05,2.9047e-06,1.065728e-05,4.772145e-06,9.358455e-06,6.085554e-06,6.730744e-05,4.217119e-07,3.289763e-06
225806.45705589652,0.04539353,0.02261284,0.0001023496,4.527826e-05,0.000212569,0.0006246406,0.0001678904,0.0005717021,1.195724e-05,0.0001007491,2.115649e-05,0.0001335598,2.129065e-05,9.754408e-05,3.292799e-06,1.689302e-05,3.680368e-06,8.443031e-06,6.132352e-06,1.793595e-05,3.446987e-06,1.263896e-05,5.66206e-06,1.110098e-05,7.213761e-06,7.983033e-05,5.00188e-07,3.90457e-06
233870.9790011256,0.05410108,0.02681286,0.0001211931,5.362202e-05,0.0002514851,0.0007402071,0.0001990848,0.0006778713,1.416757e-05,0.0001193617,2.507204e-05,0.0001582282,2.522986e-05,0.0001155793,3.901521e-06,2.003254e-05,4.362263e-06,9.972091e-06,7.265759e-06,2.124257e-05,4.086429e-06,1.497443e-05,6.711273e-06,1.315495e-05,8.542792e-06,9.459217e-05,5.927015e-07,4.629791e-06
241935.49356303614,0.06440885,0.03176265,0.0001433663,6.344113e-05,0.0002972507,0.000876325,0.0002358484,0.0008029873,1.677025e-05,0.0001412798,2.96845e-05,0.0001872783,2.986954e-05,0.0001368211,4.618194e-06,2.373258e-05,5.165405e-06,1.176735e-05,8.600334e-06,2.513584e-05,4.839854e-06,1.772484e-05,7.947373e-06,1.557422e-05,1.010726e-05,0.0001119812,7.016891e-07,5.484654e-06
250000.0075,0.07659912,0.03759207,0.0001694386,7.498797e-05,0.0003510366,0.001036542,0.0002791454,0.0009503303,1.983277e-05,0.0001670736,3.511443e-05,0.0002214663,3.533057e-05,0.0001618233,5.461328e-06,2.809016e-05,6.110652e-06,1.38738e-05,1.017068e-05,2.971709e-05,5.726972e-06,2.096178e-05,9.402672e-06,1.842187e-05,1.19477e-05,0.0001324524,8.300082e-07,6.49171e-06
258064.5094291545,0.09100262,0.04445335,0.0002000757,8.85575e-05,0.0004142126,0.001225014,0.0003301056,0.001123744,2.343408e-05,0.0001974107,4.15031e-05,0.0002616785,4.175453e-05,0.0001912351,6.45256e-06,3.321893e-05,7.222405e-06,1.634398e-05,1.201727e-05,3.510504e-05,6.770871e-06,2.476915e-05,1.111503e-05,2.177176e-05,1.411156e-05,0.0001565396,9.810108e-07,7.677424e-06
266129.0265225681,0.108007,0.05252502,0.0002360561,0.0001044946,0.0004883816,0.001446613,0.0003900541,0.001327735,2.766666e-05,0.0002330739,4.901625e-05,0.0003089541,4.930738e-05,0.0002258176,7.617198e-06,3.925214e-05,8.529226e-06,1.923922e-05,1.418752e-05,4.1439e-05,7.998621e-06,2.92453e-05,1.312885e-05,2.571052e-05,1.665446e-05,0.0001848693,1.158634e-06,9.072889e-06
274193.55543655227,0.1280667,0.06201662,0.0002782904,0.0001232028,0.0005754204,0.001707053,0.0004605451,0.001567593,3.26388e-05,0.0002749812,5.78484e-05,0.0003645122,5.818375e-05,0.0002664641,8.984848e-06,4.634612e-05,1.006456e-05,2.263115e-05,1.673696e-05,4.888252e-05,9.441976e-06,3.450563e-05,1.549623e-05,3.033976e-05,1.964162e-05,0.0002181773,1.367504e-06,1.071466e-05
282258.06587412464,0.1517144,0.07317423,0.000327844,0.0001451539,0.0006775279,0.002013042,0.000543404,0.001849527,3.847743e-05,0.00032421,6.822808e-05,0.0004297847,6.861205e-05,0.0003142235,1.059016e-05,5.468433e-05,1.186758e-05,2.660348e-05,1.973067e-05,5.762773e-05,1.113821e-05,4.068558e-05,1.827833e-05,3.577873e-05,2.314956e-05,0.0002573291,1.613064e-06,1.264574e-05
290322.58744922455,0.1795757,0.08628733,0.0003859652,0.0001709008,0.0007972827,0.002372463,0.0006407768,0.002180841,4.533152e-05,0.0003820267,8.042415e-05,0.000506455,8.086074e-05,0.0003703293,1.247372e-05,6.448247e-05,1.398424e-05,3.125407e-05,2.324502e-05,6.790074e-05,1.313114e-05,4.79444e-05,2.154707e-05,4.216763e-05,2.726819e-05,0.0003033437,1.901727e-06,1.491685e-05
298387.10160249384,0.2123846,0.1016966,0.0004541166,0.0002010912,0.0009377105,0.00279459,0.0007551884,0.002570125,5.337592e-05,0.0004499204,9.475312e-05,0.0005965041,9.524544e-05,0.0004362332,1.468311e-05,7.599423e-05,1.646845e-05,3.669737e-05,2.736969e-05,7.996778e-05,1.54723e-05,5.646943e-05,2.538708e-05,4.967136e-05,3.210323e-05,0.0003574222,2.241058e-06,1.75878e-05
306451.61149811296,0.2510043,0.1198037,0.0005340135,0.0002364843,0.001102365,0.003290343,0.0008896138,0.003027508,6.281616e-05,0.0005296449,0.0001115882,0.0007022665,0.0001121379,0.0005136463,1.727413e-05,8.951843e-05,1.938353e-05,4.306729e-05,3.221006e-05,9.414284e-05,1.822241e-05,6.648136e-05,2.989809e-05,5.848414e-05,3.777913e-05,0.0004209824,2.639991e-06,2.072931e-05
314516.1379959016,0.2964501,0.1410828,0.0006276699,0.0002779716,0.001295426,0.003872603,0.001047564,0.003564937,7.389409e-05,0.0006232684,0.0001313701,0.0008264968,0.0001319763,0.000604588,2.031229e-05,0.0001054076,2.280394e-05,5.052068e-05,3.789015e-05,0.0001107968,2.145306e-05,7.824052e-05,3.519777e-05,6.883506e-05,4.444258e-05,0.0004957008,3.109101e-06,2.442511e-05
322580.65163290186,0.3499181,0.1660941,0.0007374512,0.0003265998,0.00152181,0.004556578,0.001233185,0.00419653,8.689454e-05,0.000733232,0.0001546199,0.0009724492,0.0001552781,0.0007114439,2.387457e-05,0.0001240778,2.68173e-05,5.924123e-05,4.455603e-05,0.0001303681,2.524881e-05,9.205436e-05,4.142512e-05,8.09946e-05,5.226666e-05,0.0005835624,3.660917e-06,2.877448e-05
330645.1716321211,0.412819,0.1955014,0.0008661397,0.0003835997,0.00178731,0.005360252,0.001451385,0.004938997,0.0001021535,0.0008624225,0.0001819545,0.001143975,0.0001826548,0.0008370385,2.805154e-05,0.0001460216,3.152689e-05,6.94443e-05,5.237998e-05,0.0001533761,2.970969e-05,0.0001082866,4.874466e-05,9.52827e-05,6.145594e-05,0.0006869214,4.310314e-06,3.389537e-05
338709.6853356047,0.4868192,0.2300914,0.00101701,0.0004504195,0.002098756,0.006304924,0.00170798,0.005812143,0.0001200675,0.001014257,0.0002141059,0.001345636,0.0002148305,0.0009847188,3.294981e-05,0.0001718221,3.705453e-05,8.138244e-05,6.156543e-05,0.0001804369,3.495416e-05,0.0001273679,5.735132e-05,0.0001120782,7.225243e-05,0.0008085748,5.074979e-06,3.992822e-05
346774.2027418186,0.5738909,0.2707988,0.001193921,0.0005287654,0.00246421,0.007415851,0.002009874,0.006839481,0.0001411056,0.001192788,0.0002519433,0.001582848,0.0002526636,0.001158458,3.869507e-05,0.0002021715,4.354414e-05,9.535194e-05,7.235288e-05,0.0002122822,4.112277e-05,0.0001498093,6.747648e-05,0.0001318306,8.494284e-05,0.0009518502,5.975981e-06,4.704045e-05
354838.7131431832,0.6763714,0.3187352,0.001401421,0.0006206484,0.002893192,0.00872302,0.002365272,0.008048963,0.0001658227,0.001402823,0.0002965006,0.001862042,0.000297173,0.001362977,4.543559e-05,0.0002378918,5.116586e-05,0.0001117005,8.502696e-05,0.0002497817,4.838245e-05,0.0001762175,7.93951e-05,0.0001550733,9.986713e-05,0.001120712,7.038441e-06,5.543206e-05
362903.23029045004,0.7970372,0.3752248,0.00164488,0.0007284414,0.003396947,0.01026207,0.002783944,0.009473865,0.0001948763,0.001650075,0.0003490088,0.002190866,0.0003495691,0.001603892,5.334649e-05,0.0002799615,6.012117e-05,0.000130836,9.992485e-05,0.0002939704,5.693177e-05,0.0002073135,9.343429e-05,0.0001824407,0.0001174287,0.001319886,8.29235e-06,6.534221e-05
370967.74562263716,0.9391927,0.4418455,0.001930635,0.0008549447,0.003988753,0.01207539,0.003277523,0.01115382,0.0002290453,0.001941332,0.0004109339,0.002578412,0.0004112909,0.001887887,6.263464e-05,0.0003295451,7.064864e-05,0.000153237,0.0001174461,0.0003460794,6.700698e-05,0.0002439547,0.0001099834,0.0002146868,0.0001381064,0.001555012,9.773508e-06,7.705712e-05
379032.2614499032,1.106779,0.5204788,0.002266163,0.001003463,0.00468428,0.01421336,0.003859872,0.01313607,0.0002692533,0.002284657,0.0004840216,0.003035493,0.0004840486,0.00222291,7.354453e-05,0.00038803,8.3031e-05,0.0001794637,0.0001380644,0.0004075723,7.888933e-05,0.0002871601,0.000129506,0.0002527085,0.0001624678,0.001832807,1.152463e-05,9.091923e-05
387096.774184428,1.304505,0.6133655,0.002660288,0.001177896,0.005501971,0.0167358,0.0045475,0.01547683,0.0003165935,0.002689615,0.0005703471,0.003574937,0.0005698725,0.002618401,8.636501e-05,0.0004570678,9.760311e-05,0.0002101714,0.0001623404,0.0004801843,9.291327e-05,0.0003381388,0.0001525532,0.0002975705,0.0001911851,0.002161265,1.359655e-05,0.0001073377
395161.30871415196,1.538012,0.7231696,0.003123395,0.001382835,0.006463472,0.01971356,0.005360027,0.01824292,0.0003723586,0.003167521,0.0006723707,0.004211917,0.0006711668,0.00308554,0.000101437,0.0005386213,0.0001147611,0.000246124,0.000190937,0.0005659645,0.0001094758,0.0003983215,0.0001797788,0.0003505343,0.0002250514,0.002549855,1.604952e-05,0.0001267996
403225.8019333018,1.814065,0.8530429,0.003667674,0.001623673,0.007594024,0.02323013,0.006320674,0.02151339,0.0004380702,0.003731682,0.000792991,0.004964273,0.0007907644,0.003637484,0.0001191616,0.0006350138,0.0001349723,0.000288208,0.0002246345,0.0006673147,0.0001290458,0.0004693914,0.0002119541,0.0004130857,0.0002649963,0.003009715,1.895441e-05,0.0001498814
411290.3167096125,2.140788,1.006692,0.004307379,0.001906722,0.008922861,0.02738319,0.007456775,0.0253812,0.0005155115,0.004397642,0.0009355976,0.005852813,0.0009319822,0.004289604,0.0001400098,0.0007489812,0.0001587856,0.0003374466,0.000264347,0.0007870225,0.0001521746,0.0005533145,0.0002499841,0.0004869645,0.0003121021,0.003553822,2.239372e-05,0.0001772589
419354.83469565836,2.527946,1.188428,0.005059046,0.002239318,0.01048342,0.03228574,0.008800168,0.02995447,0.0006067526,0.005183327,0.001104101,0.006901478,0.001098659,0.005059612,0.0001645304,0.0008837133,0.0001868416,0.0003950109,0.0003111354,0.0009282714,0.0001795025,0.0006523577,0.0002949172,0.0005741824,0.0003676111,0.004197053,2.646182e-05,0.0002097125
427419.3703278985,2.987261,1.403187,0.005941683,0.002629913,0.01231335,0.03806634,0.01038742,0.03535716,0.0007141684,0.006109076,0.00130293,0.00813731,0.001295167,0.005967563,0.0001933581,0.001042879,0.0002198803,0.0004622265,0.0003662165,0.001094618,0.0002117634,0.0007690903,0.0003479495,0.0006770294,0.0004329244,0.004956086,3.126413e-05,0.0002481244
435483.88425791723,3.532772,1.656495,0.006976838,0.00308812,0.0144541,0.04486791,0.01225963,0.04172823,0.0008404355,0.007197396,0.001536966,0.009590042,0.00152638,0.007035559,0.0002272179,0.001230614,0.000258744,0.0005405724,0.0004309607,0.001289908,0.0002497803,0.0009063517,0.0004104134,0.0007980507,0.0005095827,0.005849016,3.691428e-05,0.0002934597
443548.3910483399,4.181223,1.954342,0.0081885,0.003624689,0.01694997,0.05284416,0.0144617,0.04921877,0.0009884994,0.008472368,0.001811393,0.01129115,0.001797555,0.008287077,0.0002669246,0.001451451,0.0003043736,0.000631668,0.000506875,0.001518114,0.0002944491,0.001067171,0.0004837457,0.0009399845,0.0005992197,0.006894569,4.352862e-05,0.0003467273
451612.9077757866,4.952424,2.302918,0.009602692,0.004251364,0.01984623,0.06215259,0.01704051,0.05798568,0.001161492,0.009958485,0.002131399,0.01327212,0.002114106,0.009745691,0.0003133732,0.001710155,0.0003577906,0.0007372412,0.0005955596,0.001783056,0.0003467032,0.001254616,0.0005694215,0.001105636,0.0007034787,0.008110741,5.121681e-05,0.0004089069
459677.42117530515,5.869525,2.708169,0.01124666,0.004980551,0.02318626,0.07294291,0.02004194,0.06818096,0.00136258,0.01167878,0.002501725,0.01556169,0.002481228,0.01143307,0.0003675157,0.002011437,0.0004200611,0.0008590716,0.0006986303,0.002087987,0.0004074522,0.001471543,0.0006688454,0.001297671,0.0008238806,0.009512759,6.006805e-05,0.0004808381
