i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
0,9.190401e+06,26.870545,29.174048,5.181576,-7.542575e+08,-8.189170e+08,-1.454471e+08,1.004287e-02
1,9.190401e+06,6.560039,33.207590,-21.312481,-1.841406e+08,-9.321387e+08,5.982424e+08,1.004287e-02
2,3.097798e+07,36.611246,-15.927045,-2.438420,-1.886761e+09,8.208007e+08,1.256641e+08,1.004287e-02
3,3.097798e+07,38.890084,8.583249,-3.726823,-2.004201e+09,-4.423379e+08,1.920619e+08,1.004287e-02
4,3.676160e+07,8.328295,0.403147,39.121311,-4.675513e+08,-2.263270e+07,-2.196274e+09,1.004287e-02
5,3.676160e+07,-3.355282,-7.996811,-39.048599,1.883658e+08,4.489417e+08,2.192192e+09,1.004287e-02
6,5.708075e+07,-34.908278,-5.963445,-18.597028,2.442020e+09,4.171747e+08,1.300961e+09,1.004287e-02
7,5.708075e+07,-8.205438,-25.911711,-29.347130,5.740141e+08,1.812662e+09,2.052988e+09,1.000000e+00
8,6.484321e+07,32.801432,10.083033,20.552336,-2.445688e+09,-7.517949e+08,-1.532390e+09,1.004287e-02
9,6.484321e+07,1.468697,-36.444042,16.421777,-1.095067e+08,2.717282e+09,-1.224414e+09,1.004287e-02

Summary
Radius,10.000000m
Current,0.0000e+00A
Temperature,1.0000e+20K
Mass,9.1000e-31kg
Charge,-1.6022e-19C
Dose expected value,6.0502e+06
Total,10
Seed,30000
