i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
0,1.125683e+11,26.870545,29.174048,5.181576,-4.867133e+08,-5.284373e+08,-9.385526e+07,1.004287e-02
1,1.597088e+11,6.560039,33.207590,-21.312481,-1.415336e+08,-7.164574e+08,4.598191e+08,1.004287e-02
2,3.857400e+11,36.611246,-15.927045,-2.438420,-1.227582e+09,5.340369e+08,8.176070e+07,1.004287e-02
3,7.596867e+11,38.890084,8.583249,-3.726823,-1.829974e+09,-4.038849e+08,1.753657e+08,1.000000e+00
4,9.551080e+11,8.328295,0.403147,39.121311,-4.394111e+08,-2.127052e+07,-2.064089e+09,1.000000e+00
5,9.727570e+11,-3.355282,-7.996811,-39.048599,1.786569e+08,4.258020e+08,2.079200e+09,1.000000e+00
6,1.784154e+12,-34.908278,-5.963445,-18.597028,2.517290e+09,4.300333e+08,1.341061e+09,1.004287e-02
7,1.907596e+12,-8.205438,-25.911711,-29.347130,6.118341e+08,1.932093e+09,2.188253e+09,1.004287e-02
8,1.910073e+12,32.801432,10.083033,20.552336,-2.447408e+09,-7.523238e+08,-1.533468e+09,1.004287e-02
9,1.916934e+12,1.468697,-36.444042,16.421777,-1.097803e+08,2.724073e+09,-1.227474e+09,1.004287e-02

Summary
Radius,10.000000m
Current,0.0000e+00A
Temperature,1.0000e+20K
Mass,2.6768e-26kg
Charge,1.2818e-18C
Dose expected value,2.7697e+11
Total,10
Seed,30000
