i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
0,2.830136e+03,26.870545,29.174048,5.181576,-6.301199e+04,-6.841375e+04,-1.215090e+04,0.000000e+00
1,2.837171e+03,6.560039,33.207590,-21.312481,-1.540254e+04,-7.796922e+04,5.004029e+04,5.806101e-03
2,1.047210e+04,36.611246,-15.927045,-2.438420,-1.651484e+05,7.184475e+04,1.099939e+04,0.000000e+00
3,1.458537e+04,38.890084,8.583249,-3.726823,-2.070335e+05,-4.569340e+04,1.983995e+04,0.000000e+00
4,2.031125e+04,8.328295,0.403147,39.121311,-5.231997e+04,-2.532647e+03,-2.457677e+05,9.688218e-03
5,2.112156e+04,-3.355282,-7.996811,-39.048599,2.149488e+04,5.122982e+04,2.501563e+05,9.658783e-03
6,2.482486e+04,-34.908278,-5.963445,-18.597028,2.424459e+05,4.141748e+04,1.291606e+05,3.768846e-03
7,3.238699e+04,-8.205438,-25.911711,-29.347130,6.509238e+04,2.055533e+05,2.328059e+05,6.371207e-03
8,3.449146e+04,32.801432,10.083033,20.552336,-2.685293e+05,-8.254485e+04,-1.682519e+05,4.255930e-03
9,1.144559e+05,1.468697,-36.444042,16.421777,-2.190254e+04,5.434863e+05,-2.448963e+05,4.669062e-03

Summary
Radius,10.000000m
Current,1.0000e+05A
Temperature,1.0000e+08K
Mass,4.0152e-26kg
Charge,1.9226e-18C
Dose expected value,1.3984e+02
Total,10
Seed,30001
