i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
0,3.554507e+02,26.870545,29.174048,5.181576,-1.461911e+04,-1.587234e+04,-2.819072e+03,4.607974e-05
1,5.398943e+02,6.560039,33.207590,-21.312481,-4.398610e+03,-2.226622e+04,1.429036e+04,3.751165e-05
2,6.486502e+02,36.611246,-15.927045,-2.438420,-2.690757e+04,1.170564e+04,1.792126e+03,3.422278e-05
3,6.575414e+02,38.890084,8.583249,-3.726823,-2.877763e+04,-6.351377e+03,2.757751e+03,3.399061e-05
4,7.787605e+02,8.328295,0.403147,39.121311,-6.706759e+03,-3.246533e+02,-3.150431e+04,3.123335e-05
5,1.509497e+03,-3.355282,-7.996811,-39.048599,3.761835e+03,8.965770e+03,4.378005e+04,2.243388e-05
6,6.603650e+03,-34.908278,-5.963445,-18.597028,8.186064e+04,1.398440e+04,4.361042e+04,1.072577e-05
7,6.620066e+03,-8.205438,-25.911711,-29.347130,1.926583e+04,6.083898e+04,6.890511e+04,1.071246e-05
8,1.133623e+04,32.801432,10.083033,20.552336,-1.007817e+05,-3.097992e+04,-6.314664e+04,8.186271e-06
9,1.228595e+04,1.468697,-36.444042,16.421777,-4.697765e+03,1.165697e+05,-5.252658e+04,7.863505e-06

Summary
Radius,10.000000m
Current,0.0000e+00A
Temperature,1.0000e+07K
Mass,9.3688e-26kg
Charge,4.1657e-18C
Dose expected value,4.7053e-02
Total,10
Seed,40001
