i,particleName,m,q
1,electron,9.1e-31,-1.6022e-19
2,proton,1.673e-27,1.6022e-19
3,helium,4*1.673e-27,2*1.6022e-19
4,carbon,12*1.673e-27,6*1.6022e-19
5,oxygen,16*1.673e-27,8*1.6022e-19
6,magnesium,24*1.673e-27,12*1.6022e-19
7,silicon,28*1.673e-27,14*1.6022e-19
8,iron,56*1.673e-27,26*1.6022e-19
