i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
52,1.478777e+01,-2.594361,1.555754,-7.406006,3.109638e+03,-1.864749e+03,8.876944e+03,1.006086e+00
53,1.478777e+01,-0.791048,-6.182939,-5.014530,9.481608e+02,7.410959e+03,6.010487e+03,1.006086e+00
54,1.495590e+01,-0.129343,-0.461785,7.985614,1.559112e+02,5.566393e+02,-9.625928e+03,1.006086e+00
55,1.495590e+01,-1.607058,-0.254403,7.832793,1.937161e+03,3.066591e+02,-9.441717e+03,1.006086e+00
56,1.512062e+01,-6.710662,0.466956,-4.330008,8.133513e+03,-5.659637e+02,5.248093e+03,1.006086e+00
57,1.512062e+01,2.346184,-1.355214,-7.527205,-2.843641e+03,1.642558e+03,9.123187e+03,1.006086e+00
58,1.545276e+01,0.171423,0.205094,-7.995533,-2.100389e+02,-2.512946e+02,9.796671e+03,1.006086e+00
59,1.545276e+01,-7.536317,2.658624,-0.368302,9.234008e+03,-3.257527e+03,4.512688e+02,1.006086e+00
60,1.657595e+01,-4.242505,1.688195,-6.568953,5.383809e+03,-2.142347e+03,8.336110e+03,1.006086e+00
61,1.657595e+01,0.888879,3.604421,7.086469,-1.128002e+03,-4.574070e+03,-8.992846e+03,1.006086e+00
62,1.674934e+01,-0.016447,-0.014750,7.999969,2.097992e+01,1.881504e+01,-1.020505e+04,1.006086e+00
63,1.745659e+01,-1.097702,-7.655947,2.044880,1.429527e+03,9.970263e+03,-2.663026e+03,1.006086e+00
64,1.745659e+01,-1.661858,-3.564243,-6.966664,2.164222e+03,4.641678e+03,9.072617e+03,1.006086e+00
65,1.781333e+01,0.964335,-1.788357,7.737689,-1.268611e+03,2.352637e+03,-1.017916e+04,1.006086e+00
66,1.781333e+01,-3.414258,-3.616270,6.266214,4.491557e+03,4.757310e+03,-8.243390e+03,1.006086e+00
67,1.799306e+01,-1.004992,0.843995,-7.891620,1.328749e+03,-1.115887e+03,1.043390e+04,1.006086e+00
68,1.799306e+01,-0.750110,6.182916,5.020845,9.917576e+02,-8.174738e+03,-6.638308e+03,1.006086e+00
69,1.817368e+01,1.308996,-6.058709,5.057526,-1.739353e+03,8.050626e+03,-6.720285e+03,1.006086e+00
70,1.817368e+01,0.420072,0.029918,-7.988908,-5.581781e+02,-3.975457e+01,1.061541e+04,1.006086e+00
71,1.958254e+01,3.221498,-6.876726,2.516464,-4.443451e+03,9.485151e+03,-3.470990e+03,1.006086e+00
72,1.958254e+01,1.686799,3.409523,7.037746,-2.326623e+03,-4.702796e+03,-9.707247e+03,1.006086e+00
73,2.034162e+01,-0.113073,2.508694,7.595635,1.589571e+02,-3.526700e+03,-1.067788e+04,1.006086e+00
74,2.034162e+01,-3.185977,-3.600874,-6.394002,4.478818e+03,5.062076e+03,8.988631e+03,1.006086e+00
75,2.072657e+01,0.134997,-7.306129,-3.256110,-1.915653e+02,1.036762e+04,4.620521e+03,1.006086e+00
76,2.072657e+01,-5.495286,-3.899235,4.312516,7.797979e+03,5.533135e+03,-6.119593e+03,1.006086e+00
77,2.202952e+01,5.899259,5.363641,-0.655813,-8.630344e+03,-7.846759e+03,9.594238e+02,1.006086e+00
78,2.202952e+01,-5.470164,-3.375278,-4.762857,8.002596e+03,4.937876e+03,6.967839e+03,1.006086e+00
79,2.243006e+01,1.791848,2.890808,-7.241030,-2.645114e+03,-4.267391e+03,1.068916e+04,1.006086e+00
80,2.243006e+01,-6.277609,-2.342218,4.371000,9.266964e+03,3.457566e+03,-6.452442e+03,1.006086e+00
81,2.263168e+01,-7.571935,-1.372965,-2.186496,1.122776e+04,2.035851e+03,3.242164e+03,1.006086e+00
82,2.263168e+01,-6.661879,3.091605,3.171963,9.878321e+03,-4.584273e+03,-4.703429e+03,1.006086e+00
83,2.344718e+01,-7.093849,2.460385,2.761125,1.070669e+04,-3.713440e+03,-4.167345e+03,1.006086e+00
84,2.344718e+01,5.047648,2.703662,5.586722,-7.618376e+03,-4.080617e+03,-8.431996e+03,1.006086e+00
85,2.386582e+01,-2.693025,-5.388481,-5.264209,4.100686e+03,8.205074e+03,8.015845e+03,1.006086e+00
86,2.386582e+01,1.405850,-0.508605,-7.859065,-2.140698e+03,7.744562e+02,1.196705e+04,1.006086e+00
87,2.428263e+01,-6.778969,1.720845,-3.883848,1.041213e+04,-2.643125e+03,5.965381e+03,1.006086e+00
88,2.428263e+01,-2.867758,-2.242981,7.123552,4.404722e+03,3.445098e+03,-1.094139e+04,1.006086e+00
89,2.449240e+01,-4.435973,6.632806,-0.572730,6.842781e+03,-1.023154e+04,8.834737e+02,1.006086e+00
90,2.449240e+01,7.174651,0.675956,-3.473826,-1.106737e+04,-1.042707e+03,5.358606e+03,1.006086e+00
91,2.483174e+01,0.652891,-0.370514,-7.964700,-1.014080e+03,5.754883e+02,1.237089e+04,1.006086e+00
92,2.483174e+01,4.411012,-6.581352,1.108505,-6.851251e+03,1.022226e+04,-1.721748e+03,1.006086e+00
93,2.491463e+01,6.306729,0.880756,-4.842462,-9.812043e+03,-1.370285e+03,7.533929e+03,1.006086e+00
94,2.491463e+01,-5.186367,2.181230,-5.687163,8.068978e+03,-3.393570e+03,8.848120e+03,1.006086e+00
95,2.512710e+01,-1.870345,-5.265476,-5.725083,2.922275e+03,8.226912e+03,8.945014e+03,1.006086e+00
96,2.512710e+01,1.986786,0.053116,7.749185,-3.104204e+03,-8.298951e+01,-1.210752e+04,1.006086e+00
97,2.547080e+01,4.692670,-3.262897,-5.597531,-7.381921e+03,5.132780e+03,8.805334e+03,1.006086e+00
98,2.547080e+01,7.980185,0.318147,-0.464153,-1.255343e+04,-5.004689e+02,7.301467e+02,1.006086e+00
99,2.699932e+01,-4.827378,-1.370395,6.230444,7.818363e+03,2.219476e+03,-1.009075e+04,1.006086e+00
100,2.699932e+01,-4.424523,-4.529245,-4.889738,7.165903e+03,7.335510e+03,7.919360e+03,1.006086e+00
101,2.722049e+01,-1.392431,7.228067,3.133078,2.264382e+03,-1.175434e+04,-5.095035e+03,1.006086e+00
102,2.722049e+01,-0.945930,2.381757,7.578420,1.538279e+03,-3.873231e+03,-1.232408e+04,1.006086e+00
103,2.766551e+01,0.223793,-1.364099,7.879667,-3.668974e+02,2.236368e+03,-1.291830e+04,1.006086e+00
104,2.766551e+01,3.434875,5.433143,4.762624,-5.631296e+03,-8.907351e+03,-7.808071e+03,1.006086e+00
105,2.788938e+01,-7.906715,1.109872,-0.502035,1.301498e+04,-1.826923e+03,8.263838e+02,1.006086e+00
106,2.788938e+01,2.340350,3.234511,-6.932582,-3.852373e+03,-5.324222e+03,1.141149e+04,1.006086e+00
107,2.802610e+01,-6.093188,-3.239718,4.046886,1.005435e+04,5.345848e+03,-6.677753e+03,1.006086e+00
108,2.802610e+01,0.041514,-0.003429,7.999892,-6.850182e+01,5.658506e+00,-1.320059e+04,1.006086e+00
109,2.825142e+01,7.860149,1.466440,0.260035,-1.302204e+04,-2.429475e+03,-4.308047e+02,1.006086e+00
110,2.825142e+01,-0.550954,-7.929012,-0.909513,9.127751e+02,1.313612e+04,1.506804e+03,1.006086e+00
111,2.833982e+01,3.203255,3.104439,6.640905,-5.315182e+03,-5.151216e+03,-1.101930e+04,1.006086e+00
112,2.833982e+01,-2.323846,-2.026162,7.382033,3.855972e+03,3.362024e+03,-1.224906e+04,1.006086e+00
113,2.916171e+01,3.734379,-1.109701,-6.987344,-6.285691e+03,1.867844e+03,1.176107e+04,1.006086e+00
114,2.916171e+01,-0.440126,7.762579,1.883789,7.408188e+02,-1.306594e+04,-3.170785e+03,1.006086e+00
115,2.962837e+01,4.378848,-3.269945,-5.842358,-7.429196e+03,5.547821e+03,9.912202e+03,1.006086e+00
116,2.962837e+01,-6.627478,2.068489,-3.974655,1.124424e+04,-3.509418e+03,6.743439e+03,1.006086e+00
117,3.009259e+01,1.988965,7.659000,-1.176326,-3.400830e+03,-1.309574e+04,2.011340e+03,1.006086e+00
118,3.009259e+01,3.506436,6.987178,1.698310,-5.995477e+03,-1.194702e+04,-2.903853e+03,1.006086e+00
119,3.032605e+01,-1.508694,-3.636781,-6.964027,2.589626e+03,6.242423e+03,1.195354e+04,1.006086e+00
