i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
52,1.755043e+01,-2.594361,1.555754,-7.406006,2.217757e+03,-1.329917e+03,6.330930e+03,1.006086e+00
53,1.755043e+01,-0.791048,-6.182939,-5.014530,6.762170e+02,5.285407e+03,4.286608e+03,1.006086e+00
54,1.755043e+01,-0.129343,-0.461785,7.985614,1.105672e+02,3.947508e+02,-6.826401e+03,1.006086e+00
55,1.837535e+01,-1.607058,-0.254403,7.832793,1.405688e+03,2.225251e+02,-6.851318e+03,1.006086e+00
56,1.837535e+01,-6.710662,0.466956,-4.330008,5.869794e+03,-4.084447e+02,3.787444e+03,1.006086e+00
57,1.837535e+01,2.346184,-1.355214,-7.527205,-2.052199e+03,1.185401e+03,6.584022e+03,1.006086e+00
58,1.894328e+01,0.171423,0.205094,-7.995533,-1.522425e+02,-1.821459e+02,7.100920e+03,1.006086e+00
59,1.894328e+01,-7.536317,2.658624,-0.368302,6.693085e+03,-2.361153e+03,3.270931e+02,1.006086e+00
60,1.894328e+01,-4.242505,1.688195,-6.568953,3.767815e+03,-1.499304e+03,5.833959e+03,1.006086e+00
61,2.026713e+01,0.888879,3.604421,7.086469,-8.165415e+02,-3.311093e+03,-6.509770e+03,1.006086e+00
62,2.026713e+01,-0.016447,-0.014750,7.999969,1.510820e+01,1.354921e+01,-7.348930e+03,1.006086e+00
63,2.026713e+01,-1.097702,-7.655947,2.044880,1.008371e+03,7.032904e+03,-1.878467e+03,1.006086e+00
64,2.085554e+01,-1.661858,-3.564243,-6.966664,1.548618e+03,3.321373e+03,6.491951e+03,1.006086e+00
65,2.085554e+01,0.964335,-1.788357,7.737689,-8.986247e+02,1.666497e+03,-7.210438e+03,1.006086e+00
66,2.085554e+01,-3.414258,-3.616270,6.266214,3.181608e+03,3.369855e+03,-5.839230e+03,1.006086e+00
67,2.145237e+01,-1.004992,0.843995,-7.891620,9.498164e+02,-7.976585e+02,7.458361e+03,1.006086e+00
68,2.145237e+01,-0.750110,6.182916,5.020845,7.089282e+02,-5.843467e+03,-4.745195e+03,1.006086e+00
69,2.145237e+01,1.308996,-6.058709,5.057526,-1.237130e+03,5.726080e+03,-4.779863e+03,1.006086e+00
70,2.205761e+01,0.420072,0.029918,-7.988908,-4.025707e+02,-2.867189e+01,7.656078e+03,1.006086e+00
71,2.205761e+01,3.221498,-6.876726,2.516464,-3.087285e+03,6.590231e+03,-2.411625e+03,1.006086e+00
72,2.205761e+01,1.686799,3.409523,7.037746,-1.616525e+03,-3.267477e+03,-6.744542e+03,1.006086e+00
73,2.205761e+01,-0.113073,2.508694,7.595635,1.083623e+02,-2.404178e+03,-7.279189e+03,1.006086e+00
74,2.267943e+01,-3.185977,-3.600874,-6.394002,3.095981e+03,3.499159e+03,6.213389e+03,1.006086e+00
75,2.267943e+01,0.134997,-7.306129,-3.256110,-1.311840e+02,7.099750e+03,3.164134e+03,1.006086e+00
76,2.267943e+01,-5.495286,-3.899235,4.312516,5.340059e+03,3.789092e+03,-4.190699e+03,1.006086e+00
77,2.298948e+01,5.899259,5.363641,-0.655813,-5.771673e+03,-5.247639e+03,6.416292e+02,1.006086e+00
78,2.298948e+01,-5.470164,-3.375278,-4.762857,5.351857e+03,3.302280e+03,4.659848e+03,1.006086e+00
79,2.298948e+01,1.791848,2.890808,-7.241030,-1.753094e+03,-2.828287e+03,7.084424e+03,1.006086e+00
80,2.330163e+01,-6.277609,-2.342218,4.371000,6.183396e+03,2.307066e+03,-4.305401e+03,1.006086e+00
81,2.330163e+01,-7.571935,-1.372965,-2.186496,7.458298e+03,1.352360e+03,2.153681e+03,1.006086e+00
82,2.330163e+01,-6.661879,3.091605,3.171963,6.561899e+03,-3.045207e+03,-3.124359e+03,1.006086e+00
83,2.380822e+01,-7.093849,2.460385,2.761125,7.062932e+03,-2.449662e+03,-2.749091e+03,1.006086e+00
84,2.380822e+01,5.047648,2.703662,5.586722,-5.025649e+03,-2.691879e+03,-5.562373e+03,1.006086e+00
85,2.380822e+01,-2.693025,-5.388481,-5.264209,2.681288e+03,5.364996e+03,5.241266e+03,1.006086e+00
86,2.393225e+01,1.405850,-0.508605,-7.859065,-1.403365e+03,5.077058e+02,7.845169e+03,1.006086e+00
87,2.393225e+01,-6.778969,1.720845,-3.883848,6.766982e+03,-1.717802e+03,3.876981e+03,1.006086e+00
88,2.393225e+01,-2.867758,-2.242981,7.123552,2.862687e+03,2.239015e+03,-7.110957e+03,1.006086e+00
89,2.607592e+01,-4.435973,6.632806,-0.572730,4.622197e+03,-6.911253e+03,5.967733e+02,1.006086e+00
90,2.607592e+01,7.174651,0.675956,-3.473826,-7.475844e+03,-7.043328e+02,3.619658e+03,1.006086e+00
91,2.607592e+01,0.652891,-0.370514,-7.964700,-6.802993e+02,3.860685e+02,8.299060e+03,1.006086e+00
92,2.675163e+01,4.411012,-6.581352,1.108505,-4.655357e+03,6.945922e+03,-1.169911e+03,1.006086e+00
93,2.675163e+01,6.306729,0.880756,-4.842462,-6.656087e+03,-9.295451e+02,5.110708e+03,1.006086e+00
94,2.675163e+01,-5.186367,2.181230,-5.687163,5.473663e+03,-2.302058e+03,6.002201e+03,1.006086e+00
95,2.708827e+01,-1.870345,-5.265476,-5.725083,1.986333e+03,5.592010e+03,6.080120e+03,1.006086e+00
96,2.708827e+01,1.986786,0.053116,7.749185,-2.109995e+03,-5.640977e+01,-8.229744e+03,1.006086e+00
97,2.708827e+01,4.692670,-3.262897,-5.597531,-4.983682e+03,3.465243e+03,5.944657e+03,1.006086e+00
98,2.776788e+01,7.980185,0.318147,-0.464153,-8.580724e+03,-3.420887e+02,4.990819e+02,1.006086e+00
99,2.776788e+01,-4.827378,-1.370395,6.230444,5.190657e+03,1.473523e+03,-6.699309e+03,1.006086e+00
100,2.776788e+01,-4.424523,-4.529245,-4.889738,4.757485e+03,4.870088e+03,5.257710e+03,1.006086e+00
101,2.811083e+01,-1.392431,7.228067,3.133078,1.506435e+03,-7.819855e+03,-3.389594e+03,1.006086e+00
102,2.811083e+01,-0.945930,2.381757,7.578420,1.023377e+03,-2.576760e+03,-8.198892e+03,1.006086e+00
103,2.811083e+01,0.223793,-1.364099,7.879667,-2.421161e+02,1.475783e+03,-8.524804e+03,1.006086e+00
104,2.832063e+01,3.434875,5.433143,4.762624,-3.729942e+03,-5.899868e+03,-5.171749e+03,1.006086e+00
105,2.832063e+01,-7.906715,1.109872,-0.502035,8.585928e+03,-1.205214e+03,5.451618e+02,1.006086e+00
106,2.832063e+01,2.340350,3.234511,-6.932582,-2.541394e+03,-3.512366e+03,7.528114e+03,1.006086e+00
107,2.845590e+01,-6.093188,-3.239718,4.046886,6.632395e+03,3.526412e+03,-4.405009e+03,1.006086e+00
108,2.845590e+01,0.041514,-0.003429,7.999892,-4.518752e+01,3.732658e+00,-8.707829e+03,1.006086e+00
109,2.845590e+01,7.860149,1.466440,0.260035,-8.555720e+03,-1.596210e+03,-2.830467e+02,1.006086e+00
110,2.866698e+01,-0.550954,-7.929012,-0.909513,6.019303e+02,8.662629e+03,9.936635e+02,1.006086e+00
111,2.866698e+01,3.203255,3.104439,6.640905,-3.499630e+03,-3.391671e+03,-7.255342e+03,1.006086e+00
112,2.866698e+01,-2.323846,-2.026162,7.382033,2.538855e+03,2.213629e+03,-8.065041e+03,1.006086e+00
113,2.880306e+01,3.734379,-1.109701,-6.987344,-4.089568e+03,1.215248e+03,7.651932e+03,1.006086e+00
114,2.880306e+01,-0.440126,7.762579,1.883789,4.819882e+02,-8.500902e+03,-2.062962e+03,1.006086e+00
115,2.880306e+01,4.378848,-3.269945,-5.842358,-4.795334e+03,3.580960e+03,6.398043e+03,1.006086e+00
116,2.915234e+01,-6.627478,2.068489,-3.974655,7.301711e+03,-2.278922e+03,4.379009e+03,1.006086e+00
117,2.915234e+01,1.988965,7.659000,-1.176326,-2.191308e+03,-8.438172e+03,1.295997e+03,1.006086e+00
118,2.915234e+01,3.506436,6.987178,1.698310,-3.863156e+03,-7.698004e+03,-1.871084e+03,1.006086e+00
119,2.936598e+01,-1.508694,-3.636781,-6.964027,1.668257e+03,4.021417e+03,7.700560e+03,1.006086e+00
120,2.936598e+01,1.970158,-0.333063,7.746454,-2.178528e+03,3.682892e+02,-8.565739e+03,1.006086e+00
121,2.936598e+01,0.689484,-5.617458,5.654094,-7.624056e+02,6.211575e+03,-6.252086e+03,1.006086e+00
122,2.985720e+01,0.679332,-5.629297,-5.643539,-7.574362e+02,6.276511e+03,6.292391e+03,1.006086e+00
123,2.985720e+01,-0.379665,-0.829249,7.947842,4.233166e+02,9.245900e+02,-8.861626e+03,1.006086e+00
124,2.985720e+01,1.256900,6.985722,-3.690514,-1.401409e+03,-7.788888e+03,4.114822e+03,1.006086e+00
125,3.007340e+01,-3.704815,3.873121,5.939132,4.145696e+03,-4.334031e+03,-6.645901e+03,1.006086e+00
126,3.007340e+01,1.939804,3.324092,7.013385,-2.170645e+03,-3.719666e+03,-7.847994e+03,1.006086e+00
127,3.007340e+01,-0.668273,-1.082773,-7.898165,7.477990e+02,1.211625e+03,8.838064e+03,1.006086e+00
128,3.079874e+01,-0.326553,-0.310716,7.987291,3.697937e+02,3.518598e+02,-9.044940e+03,1.006086e+00
129,3.079874e+01,-0.236139,-1.322175,7.886450,2.674080e+02,1.497252e+03,-8.930745e+03,1.006086e+00
130,3.079874e+01,-1.619242,-0.196034,7.831962,1.833656e+03,2.219926e+02,-8.869042e+03,1.006086e+00
131,3.152312e+01,6.803295,-0.982203,4.092733,-7.794235e+03,1.125267e+03,-4.688864e+03,1.006086e+00
132,3.152312e+01,-0.173309,-4.098469,6.868225,1.985520e+02,4.695436e+03,-7.868623e+03,1.006086e+00
133,3.152312e+01,5.337228,-2.123817,5.568070,-6.114627e+03,2.433164e+03,-6.379092e+03,1.006086e+00
134,3.188846e+01,2.746156,2.706712,7.009446,-3.164329e+03,-3.118879e+03,-8.076815e+03,1.006086e+00
135,3.188846e+01,5.784728,4.497865,3.210316,-6.665602e+03,-5.182781e+03,-3.699169e+03,1.006086e+00
136,3.188846e+01,-3.623317,6.871674,-1.910933,4.175061e+03,-7.918064e+03,2.201921e+03,1.006086e+00
137,3.262546e+01,0.335329,-6.466532,-4.698034,-3.908311e+02,7.536842e+03,5.475630e+03,1.006086e+00
138,3.262546e+01,6.667964,-2.873476,3.358778,-7.771614e+03,3.349080e+03,-3.914708e+03,1.006086e+00
139,3.262546e+01,-5.267370,1.527715,5.824165,6.139201e+03,-1.780575e+03,-6.788154e+03,1.006086e+00
140,3.299712e+01,-5.566107,2.988485,4.907893,6.524230e+03,-3.502908e+03,-5.752714e+03,1.006086e+00
141,3.299712e+01,1.670856,7.793192,-0.688766,-1.958469e+03,-9.134674e+03,8.073266e+02,1.006086e+00
