i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
52,1.750547e+01,-2.594361,1.555754,-7.406006,1.172022e+04,-7.028238e+03,3.345720e+04,1.006086e+00
53,1.831678e+01,-0.791048,-6.182939,-5.014530,3.655492e+03,2.857184e+04,2.317253e+04,1.006086e+00
54,1.842328e+01,-0.129343,-0.461785,7.985614,5.994392e+02,2.140137e+03,-3.700926e+04,1.006086e+00
55,1.858151e+01,-1.607058,-0.254403,7.832793,7.479811e+03,1.184079e+03,-3.645657e+04,1.006086e+00
56,1.863440e+01,-6.710662,0.466956,-4.330008,3.127820e+04,-2.176467e+03,2.018204e+04,1.006086e+00
57,1.874041e+01,2.346184,-1.355214,-7.527205,-1.096656e+04,6.334555e+03,3.518374e+04,1.006086e+00
58,1.914789e+01,0.171423,0.205094,-7.995533,-8.099306e+02,-9.690167e+02,3.777692e+04,1.006086e+00
59,1.947118e+01,-7.536317,2.658624,-0.368302,3.590657e+04,-1.266694e+04,1.754765e+03,1.006086e+00
60,2.010581e+01,-4.242505,1.688195,-6.568953,2.054006e+04,-8.173385e+03,3.180355e+04,1.006086e+00
61,2.027109e+01,0.888879,3.604421,7.086469,-4.321153e+03,-1.752237e+04,-3.444983e+04,1.006086e+00
62,2.032633e+01,-0.016447,-0.014750,7.999969,8.006177e+01,7.180034e+01,-3.894364e+04,1.006086e+00
63,2.043851e+01,-1.097702,-7.655947,2.044880,5.358309e+03,3.737164e+04,-9.981850e+03,1.006086e+00
64,2.049398e+01,-1.661858,-3.564243,-6.966664,8.123176e+03,1.742204e+04,3.405310e+04,1.006086e+00
65,2.097463e+01,0.964335,-1.788357,7.737689,-4.768633e+03,8.843417e+03,-3.826284e+04,1.006086e+00
66,2.103083e+01,-3.414258,-3.616270,6.266214,1.690609e+04,1.790638e+04,-3.102788e+04,1.006086e+00
67,2.131442e+01,-1.004992,0.843995,-7.891620,5.009771e+03,-4.207219e+03,3.933885e+04,1.006086e+00
68,2.148459e+01,-0.750110,6.182916,5.020845,3.754112e+03,-3.094393e+04,-2.512807e+04,1.006086e+00
69,2.154146e+01,1.308996,-6.058709,5.057526,-6.559858e+03,3.036242e+04,-2.534512e+04,1.006086e+00
70,2.180606e+01,0.420072,0.029918,-7.988908,-2.118022e+03,-1.508498e+02,4.028048e+04,1.006086e+00
71,2.192073e+01,3.221498,-6.876726,2.516464,-1.628561e+04,3.476385e+04,-1.272146e+04,1.006086e+00
72,2.220871e+01,1.686799,3.409523,7.037746,-8.583093e+03,-1.734898e+04,-3.581079e+04,1.006086e+00
73,2.244199e+01,-0.113073,2.508694,7.595635,5.783736e+02,-1.283208e+04,-3.885200e+04,1.006086e+00
74,2.318194e+01,-3.185977,-3.600874,-6.394002,1.656289e+04,1.871981e+04,3.324040e+04,1.006086e+00
75,2.324101e+01,0.134997,-7.306129,-3.256110,-7.027020e+02,3.803063e+04,1.694905e+04,1.006086e+00
76,2.347806e+01,-5.495286,-3.899235,4.312516,2.875015e+04,2.039996e+04,-2.256216e+04,1.006086e+00
77,2.353752e+01,5.899259,5.363641,-0.655813,-3.090270e+04,-2.809692e+04,3.435412e+03,1.006086e+00
78,2.399391e+01,-5.470164,-3.375278,-4.762857,2.893140e+04,1.785167e+04,2.519050e+04,1.006086e+00
79,2.423476e+01,1.791848,2.890808,-7.241030,-9.524434e+03,-1.536587e+04,3.848916e+04,1.006086e+00
80,2.451376e+01,-6.277609,-2.342218,4.371000,3.355969e+04,1.252134e+04,-2.336708e+04,1.006086e+00
81,2.459990e+01,-7.571935,-1.372965,-2.186496,4.055013e+04,7.352669e+03,1.170938e+04,1.006086e+00
82,2.469784e+01,-6.661879,3.091605,3.171963,3.574743e+04,-1.658946e+04,-1.702066e+04,1.006086e+00
83,2.512624e+01,-7.093849,2.460385,2.761125,3.839409e+04,-1.331636e+04,-1.494406e+04,1.006086e+00
84,2.524932e+01,5.047648,2.703662,5.586722,-2.738625e+04,-1.466885e+04,-3.031102e+04,1.006086e+00
85,2.537433e+01,-2.693025,-5.388481,-5.264209,1.464726e+04,2.930774e+04,2.863183e+04,1.006086e+00
86,2.562199e+01,1.405850,-0.508605,-7.859065,-7.683592e+03,2.779751e+03,4.295325e+04,1.006086e+00
87,2.622351e+01,-6.778969,1.720845,-3.883848,3.748243e+04,-9.514935e+03,2.147466e+04,1.006086e+00
88,2.653841e+01,-2.867758,-2.242981,7.123552,1.595139e+04,1.247618e+04,-3.962349e+04,1.006086e+00
89,2.660161e+01,-4.435973,6.632806,-0.572730,2.470367e+04,-3.693771e+04,3.189500e+03,1.006086e+00
90,2.676685e+01,7.174651,0.675956,-3.473826,-4.007911e+04,-3.776032e+03,1.940553e+04,1.006086e+00
91,2.689555e+01,0.652891,-0.370514,-7.964700,-3.655944e+03,2.074740e+03,4.459933e+04,1.006086e+00
92,2.708667e+01,4.411012,-6.581352,1.108505,-2.478761e+04,3.698380e+04,-6.229229e+03,1.006086e+00
93,2.763883e+01,6.306729,0.880756,-4.842462,-3.579997e+04,-4.999587e+03,2.748810e+04,1.006086e+00
94,2.809363e+01,-5.186367,2.181230,-5.687163,2.968150e+04,-1.248315e+04,3.254755e+04,1.006086e+00
95,2.848666e+01,-1.870345,-5.265476,-5.725083,1.077857e+04,3.034430e+04,3.299296e+04,1.006086e+00
96,2.861770e+01,1.986786,0.053116,7.749185,-1.147591e+04,-3.068033e+02,-4.476021e+04,1.006086e+00
97,2.865765e+01,4.692670,-3.262897,-5.597531,-2.712433e+04,1.886003e+04,3.235456e+04,1.006086e+00
98,2.874905e+01,7.980185,0.318147,-0.464153,-4.620014e+04,-1.841866e+03,2.687146e+03,1.006086e+00
99,2.892081e+01,-4.827378,-1.370395,6.230444,2.803079e+04,7.957376e+03,-3.617787e+04,1.006086e+00
100,2.925321e+01,-4.424523,-4.529245,-4.889738,2.583877e+04,2.645034e+04,2.855559e+04,1.006086e+00
101,2.965248e+01,-1.392431,7.228067,3.133078,8.186966e+03,-4.249828e+04,-1.842131e+04,1.006086e+00
102,2.989393e+01,-0.945930,2.381757,7.578420,5.584306e+03,-1.406072e+04,-4.473927e+04,1.006086e+00
103,2.992194e+01,0.223793,-1.364099,7.879667,-1.321785e+03,8.056741e+03,-4.653946e+04,1.006086e+00
104,3.002994e+01,3.434875,5.433143,4.762624,-2.032389e+04,-3.214749e+04,-2.818008e+04,1.006086e+00
105,3.009717e+01,-7.906715,1.109872,-0.502035,4.683576e+04,-6.574373e+03,2.973828e+03,1.006086e+00
106,3.016448e+01,2.340350,3.234511,-6.932582,-1.387866e+04,-1.918118e+04,4.111134e+04,1.006086e+00
107,3.036685e+01,-6.093188,-3.239718,4.046886,3.625460e+04,1.927639e+04,-2.407906e+04,1.006086e+00
108,3.088495e+01,0.041514,-0.003429,7.999892,-2.491064e+02,2.057711e+01,-4.800386e+04,1.006086e+00
109,3.091161e+01,7.860149,1.466440,0.260035,-4.718569e+04,-8.803264e+03,-1.561032e+03,1.006086e+00
110,3.102138e+01,-0.550954,-7.929012,-0.909513,3.313331e+03,4.768353e+04,5.469630e+03,1.006086e+00
111,3.111647e+01,3.203255,3.104439,6.640905,-1.929325e+04,-1.869808e+04,-3.999826e+04,1.006086e+00
112,3.122661e+01,-2.323846,-2.026162,7.382033,1.402130e+04,1.222518e+04,-4.454070e+04,1.006086e+00
113,3.136380e+01,3.734379,-1.109701,-6.987344,-2.258143e+04,6.710254e+03,4.225179e+04,1.006086e+00
114,3.157015e+01,-0.440126,7.762579,1.883789,2.670142e+03,-4.709372e+04,-1.142850e+04,1.006086e+00
115,3.164090e+01,4.378848,-3.269945,-5.842358,-2.659518e+04,1.986020e+04,3.548389e+04,1.006086e+00
116,3.170991e+01,-6.627478,2.068489,-3.974655,4.029624e+04,-1.257678e+04,2.416661e+04,1.006086e+00
117,3.182109e+01,1.988965,7.659000,-1.176326,-1.211444e+04,-4.664963e+04,7.164795e+03,1.006086e+00
118,3.184816e+01,3.506436,6.987178,1.698310,-2.136617e+04,-4.257578e+04,-1.034851e+04,1.006086e+00
119,3.205609e+01,-1.508694,-3.636781,-6.964027,9.223061e+03,2.223264e+04,4.257301e+04,1.006086e+00
120,3.230711e+01,1.970158,-0.333063,7.746454,-1.209119e+04,2.044065e+03,-4.754126e+04,1.006086e+00
121,3.233439e+01,0.689484,-5.617458,5.654094,-4.233262e+03,3.448981e+04,-3.471475e+04,1.006086e+00
122,3.237685e+01,0.679332,-5.629297,-5.643539,-4.173668e+03,3.458518e+04,3.467268e+04,1.006086e+00
123,3.244665e+01,-0.379665,-0.829249,7.947842,2.335096e+03,5.100217e+03,-4.888244e+04,1.006086e+00
124,3.265838e+01,1.256900,6.985722,-3.690514,-7.755625e+03,-4.310496e+04,2.277209e+04,1.006086e+00
125,3.272849e+01,-3.704815,3.873121,5.939132,2.288485e+04,-2.392449e+04,-3.668636e+04,1.006086e+00
126,3.279868e+01,1.939804,3.324092,7.013385,-1.199512e+04,-2.055511e+04,-4.336851e+04,1.006086e+00
127,3.322137e+01,-0.668273,-1.082773,-7.898165,4.158928e+03,6.738524e+03,4.915341e+04,1.006086e+00
128,3.326441e+01,-0.326553,-0.310716,7.987291,2.033583e+03,1.934960e+03,-4.974026e+04,1.006086e+00
129,3.329395e+01,-0.236139,-1.322175,7.886450,1.471193e+03,8.237401e+03,-4.913409e+04,1.006086e+00
130,3.333517e+01,-1.619242,-0.196034,7.831962,1.009443e+04,1.222088e+03,-4.882481e+04,1.006086e+00
131,3.347878e+01,6.803295,-0.982203,4.092733,-4.250331e+04,6.136274e+03,-2.556918e+04,1.006086e+00
132,3.350654e+01,-0.173309,-4.098469,6.868225,1.083187e+03,2.561564e+04,-4.292675e+04,1.006086e+00
133,3.369196e+01,5.337228,-2.123817,5.568070,-3.345011e+04,1.331064e+04,-3.489687e+04,1.006086e+00
134,3.397726e+01,2.746156,2.706712,7.009446,-1.728375e+04,-1.703550e+04,-4.411604e+04,1.006086e+00
135,3.404877e+01,5.784728,4.497865,3.210316,-3.644621e+04,-2.833843e+04,-2.022633e+04,1.006086e+00
136,3.416397e+01,-3.623317,6.871674,-1.910933,2.286700e+04,-4.336760e+04,1.206003e+04,1.006086e+00
137,3.426565e+01,0.335329,-6.466532,-4.698034,-2.119431e+03,4.087141e+04,2.969370e+04,1.006086e+00
138,3.433746e+01,6.667964,-2.873476,3.358778,-4.218869e+04,1.818069e+04,-2.125123e+04,1.006086e+00
139,3.438122e+01,-5.267370,1.527715,5.824165,3.334826e+04,-9.672117e+03,-3.687338e+04,1.006086e+00
140,3.445315e+01,-5.566107,2.988485,4.907893,3.527644e+04,-1.894018e+04,-3.110486e+04,1.006086e+00
141,3.466941e+01,1.670856,7.793192,-0.688766,-1.062260e+04,-4.954585e+04,4.378885e+03,1.006086e+00
142,3.495880e+01,4.123892,-4.758839,-4.934265,-2.632717e+04,3.038071e+04,3.150064e+04,1.006086e+00
143,3.532416e+01,-5.880614,5.329272,1.008581,3.773786e+04,-3.419972e+04,-6.472400e+03,1.006086e+00
144,3.536854e+01,0.022812,-0.077874,7.999588,-1.464829e+02,5.000594e+02,-5.136826e+04,1.006086e+00
145,3.647279e+01,-2.262729,-3.809050,6.661171,1.475488e+04,2.483819e+04,-4.343639e+04,1.006086e+00
146,3.654688e+01,0.898578,1.006916,-7.885346,-5.865424e+03,-6.572597e+03,5.147124e+04,1.006086e+00
147,3.662105e+01,-5.581992,-4.386361,3.687981,3.647315e+04,2.866081e+04,-2.409754e+04,1.006086e+00
148,3.674052e+01,-3.970780,-0.241261,-6.940799,2.598766e+04,1.578985e+03,4.542561e+04,1.006086e+00
149,3.677157e+01,-3.505684,6.430856,-3.217805,2.295343e+04,-4.210595e+04,2.106854e+04,1.006086e+00
150,3.689128e+01,5.165588,1.375553,-5.951853,-3.387664e+04,-9.021068e+03,3.903307e+04,1.006086e+00
151,3.718979e+01,-5.071835,-0.618175,6.155839,3.339609e+04,4.070446e+03,-4.053384e+04,1.006086e+00
152,3.771705e+01,5.404407,3.381950,-4.832680,-3.583733e+04,-2.242615e+04,3.204613e+04,1.006086e+00
153,3.779240e+01,-0.548850,7.402680,2.983136,3.643127e+03,-4.913714e+04,-1.980131e+04,1.006086e+00
154,3.783830e+01,0.868495,7.915798,0.765414,-5.768354e+03,-5.257499e+04,-5.083710e+03,1.006086e+00
155,3.791376e+01,0.850194,-0.122427,7.953753,-5.652432e+03,8.139442e+02,-5.287972e+04,1.006086e+00
156,3.794331e+01,7.520041,1.514936,-2.270232,-5.001571e+04,-1.007582e+04,1.509929e+04,1.006086e+00
157,3.798930e+01,-3.810239,6.974450,-0.916042,2.535721e+04,-4.641510e+04,6.096276e+03,1.006086e+00
158,3.824603e+01,-0.682417,0.472718,-7.956811,4.556818e+03,-3.156562e+03,5.313136e+04,1.006086e+00
159,3.844411e+01,2.420279,-2.659374,7.146326,-1.620313e+04,1.780381e+04,-4.784278e+04,1.006086e+00
160,3.867454e+01,-1.086357,-1.305200,-7.817690,7.294637e+03,8.764121e+03,5.249401e+04,1.006086e+00
161,3.887373e+01,3.112701,-7.142885,-1.813914,-2.095483e+04,4.808620e+04,1.221134e+04,1.006086e+00
162,3.895022e+01,3.532770,-1.265604,7.065252,-2.380614e+04,8.528474e+03,-4.761034e+04,1.006086e+00
163,3.902678e+01,-1.325689,1.987725,7.634887,8.942142e+03,-1.340776e+04,-5.149946e+04,1.006086e+00
