i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
52,1.532419e+01,-2.594361,1.555754,-7.406006,5.482868e+03,-3.287898e+03,1.565170e+04,1.006086e+00
53,1.542034e+01,-0.791048,-6.182939,-5.014530,1.677020e+03,1.310782e+04,1.063080e+04,1.006086e+00
54,1.606593e+01,-0.129343,-0.461785,7.985614,2.798882e+02,9.992659e+02,-1.728024e+04,1.006086e+00
55,1.616437e+01,-1.607058,-0.254403,7.832793,3.488185e+03,5.521913e+02,-1.700140e+04,1.006086e+00
56,1.626312e+01,-6.710662,0.466956,-4.330008,1.461019e+04,-1.016638e+03,9.427126e+03,1.006086e+00
57,1.636217e+01,2.346184,-1.355214,-7.527205,-5.123552e+03,2.959491e+03,1.643777e+04,1.006086e+00
58,1.646152e+01,0.171423,0.205094,-7.995533,-3.754847e+02,-4.492372e+02,1.751342e+04,1.006086e+00
59,1.656117e+01,-7.536317,2.658624,-0.368302,1.655744e+04,-5.841052e+03,8.091674e+02,1.006086e+00
60,1.666112e+01,-4.242505,1.688195,-6.568953,9.348956e+03,-3.720174e+03,1.447561e+04,1.006086e+00
61,1.696277e+01,0.888879,3.604421,7.086469,-1.976422e+03,-8.014431e+03,-1.575676e+04,1.006086e+00
62,1.706393e+01,-0.016447,-0.014750,7.999969,3.667796e+01,3.289323e+01,-1.784089e+04,1.006086e+00
63,1.706393e+01,-1.097702,-7.655947,2.044880,2.448007e+03,1.707368e+04,-4.560326e+03,1.006086e+00
64,1.753671e+01,-1.661858,-3.564243,-6.966664,3.757135e+03,8.058051e+03,1.575025e+04,1.006086e+00
65,1.763956e+01,0.964335,-1.788357,7.737689,-2.186556e+03,4.054962e+03,-1.754461e+04,1.006086e+00
66,1.774271e+01,-3.414258,-3.616270,6.266214,7.764168e+03,8.223553e+03,-1.424964e+04,1.006086e+00
67,1.805396e+01,-1.004992,0.843995,-7.891620,2.305352e+03,-1.936041e+03,1.810260e+04,1.006086e+00
68,1.826296e+01,-0.750110,6.182916,5.020845,1.730610e+03,-1.426486e+04,-1.158380e+04,1.006086e+00
69,1.847595e+01,1.308996,-6.058709,5.057526,-3.037597e+03,1.405957e+04,-1.173627e+04,1.006086e+00
70,1.858151e+01,0.420072,0.029918,-7.988908,-9.775802e+02,-6.962523e+01,1.859159e+04,1.006086e+00
71,1.907190e+01,3.221498,-6.876726,2.516464,-7.595275e+03,1.621315e+04,-5.933029e+03,1.006086e+00
72,1.917915e+01,1.686799,3.409523,7.037746,-3.988107e+03,-8.061149e+03,-1.663937e+04,1.006086e+00
73,1.939455e+01,-0.113073,2.508694,7.595635,2.688361e+02,-5.964529e+03,-1.805895e+04,1.006086e+00
74,1.939455e+01,-3.185977,-3.600874,-6.394002,7.574799e+03,8.561235e+03,1.520202e+04,1.006086e+00
75,1.950270e+01,0.134997,-7.306129,-3.256110,-3.218556e+02,1.741901e+04,7.763100e+03,1.006086e+00
76,1.971990e+01,-5.495286,-3.899235,4.312516,1.317442e+04,9.348039e+03,-1.033884e+04,1.006086e+00
77,1.983184e+01,5.899259,5.363641,-0.655813,-1.418299e+04,-1.289525e+04,1.576704e+03,1.006086e+00
78,1.994120e+01,-5.470164,-3.375278,-4.762857,1.318757e+04,8.137180e+03,1.148238e+04,1.006086e+00
79,2.016082e+01,1.791848,2.890808,-7.241030,-4.343541e+03,-7.007483e+03,1.755267e+04,1.006086e+00
80,2.027109e+01,-6.277609,-2.342218,4.371000,1.525884e+04,5.693175e+03,-1.062449e+04,1.006086e+00
81,2.049252e+01,-7.571935,-1.372965,-2.186496,1.850518e+04,3.355413e+03,5.343612e+03,1.006086e+00
82,2.060368e+01,-6.661879,3.091605,3.171963,1.632517e+04,-7.576091e+03,-7.773010e+03,1.006086e+00
83,2.078315e+01,-7.093849,2.460385,2.761125,1.745928e+04,-6.055463e+03,-6.795641e+03,1.006086e+00
84,2.100735e+01,5.047648,2.703662,5.586722,-1.249003e+04,-6.690010e+03,-1.382392e+04,1.006086e+00
85,2.123574e+01,-2.693025,-5.388481,-5.264209,6.699812e+03,1.340567e+04,1.309651e+04,1.006086e+00
86,2.123574e+01,1.405850,-0.508605,-7.859065,-3.497530e+03,1.265328e+03,1.955209e+04,1.006086e+00
87,2.134890e+01,-6.778969,1.720845,-3.883848,1.690986e+04,-4.292578e+03,9.688100e+03,1.006086e+00
88,2.146236e+01,-2.867758,-2.242981,7.123552,7.172489e+03,5.609873e+03,-1.781657e+04,1.006086e+00
89,2.157612e+01,-4.435973,6.632806,-0.572730,1.112408e+04,-1.663308e+04,1.436234e+03,1.006086e+00
90,2.180455e+01,7.174651,0.675956,-3.473826,-1.808685e+04,-1.704043e+03,8.757302e+03,1.006086e+00
91,2.191921e+01,0.652891,-0.370514,-7.964700,-1.650219e+03,9.364961e+02,2.013124e+04,1.006086e+00
92,2.191921e+01,4.411012,-6.581352,1.108505,-1.114909e+04,1.663475e+04,-2.801812e+03,1.006086e+00
93,2.226501e+01,6.306729,0.880756,-4.842462,-1.606587e+04,-2.243653e+03,1.233577e+04,1.006086e+00
94,2.250011e+01,-5.186367,2.181230,-5.687163,1.328141e+04,-5.585763e+03,1.456387e+04,1.006086e+00
95,2.268764e+01,-1.870345,-5.265476,-5.725083,4.809558e+03,1.354007e+04,1.472194e+04,1.006086e+00
96,2.292186e+01,1.986786,0.053116,7.749185,-5.135287e+03,-1.372896e+02,-2.002948e+04,1.006086e+00
97,2.315729e+01,4.692670,-3.262897,-5.597531,-1.219137e+04,8.476876e+03,1.454216e+04,1.006086e+00
98,2.327545e+01,7.980185,0.318147,-0.464153,-2.078503e+04,-8.286391e+02,1.208923e+03,1.006086e+00
99,2.339391e+01,-4.827378,-1.370395,6.230444,1.260525e+04,3.578377e+03,-1.626893e+04,1.006086e+00
100,2.375111e+01,-4.424523,-4.529245,-4.889738,1.164118e+04,1.191671e+04,1.286519e+04,1.006086e+00
101,2.399391e+01,-1.392431,7.228067,3.133078,3.682248e+03,-1.911443e+04,-8.285341e+03,1.006086e+00
102,2.423476e+01,-0.945930,2.381757,7.578420,2.514010e+03,-6.330026e+03,-2.014127e+04,1.006086e+00
103,2.455073e+01,0.223793,-1.364099,7.879667,-5.986433e+02,3.648940e+03,-2.107797e+04,1.006086e+00
104,2.459830e+01,3.434875,5.433143,4.762624,-9.197126e+03,-1.454763e+04,-1.275227e+04,1.006086e+00
105,2.503918e+01,-7.906715,1.109872,-0.502035,2.135969e+04,-2.998276e+03,1.356229e+03,1.006086e+00
106,2.528521e+01,2.340350,3.234511,-6.932582,-6.353351e+03,-8.780731e+03,1.881989e+04,1.006086e+00
107,2.578417e+01,-6.093188,-3.239718,4.046886,1.670359e+04,8.881216e+03,-1.109395e+04,1.006086e+00
108,2.648733e+01,0.041514,-0.003429,7.999892,-1.153455e+02,9.527966e+00,-2.222757e+04,1.006086e+00
109,2.653674e+01,7.860149,1.466440,0.260035,-2.185965e+04,-4.078277e+03,-7.231772e+02,1.006086e+00
110,2.699795e+01,-0.550954,-7.929012,-0.909513,1.545502e+03,2.224197e+04,2.551307e+03,1.006086e+00
